"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","Display Type","Characters","Supplier","Supplier PartNo","GenericName","Location"
1,,,,,,"VARITRONIX","VIM-878-DP-RC-S-LV",,"LCD","8 * 14SEG",,,,"A0775"
2,,,,,,,,,,,,,,
