"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo","Location"
"ffa830be-723e-42ea-80da-ec8684dfdef3","SWITCH, DPDT, RA, PUSH, ILLUMINATED, CLEAR CAP,","","","","","E-SWITCH","WBL2UOARQ","","","","","","","","A0501, A0502"
"03e3abf0-fc78-4e9b-9fa3-ff04a1f7f84b","SWITCH, MOM, VERTICAL, MEC, PLUNGER FOR CAP","","","","","MEC","3FTH9","","","","","","","","A0473, A0452, A0186"
"54dba403-059b-48cb-b07b-3547f53f924e","SWITCH, MOM, VERTICAL, MEC, 20G, NO PLUNGER, GREY","","","","","MEC","5GTH920","","","","","","","","A0493"
"ed87bc06-8c7a-4ccc-ac49-e1d66c904847","SWITCH, MOM, VERTICAL, MEC, 35G, NO PLUNGER, BLACK","","","","","MEC","5GTH935","","","","","","","","A0486"
"252a6d93-a251-46d0-b638-f754e9dc5a28","","","","","","","PTS645SM43SMTR92LFS","","","","","","","","A0477"
"0ef769ea-3f54-4cd4-9e20-676c3348c0f1","","","","","","","EVP-AEGE2A","","","","","","","","R767"
"dff32636-8cd3-48e7-ac90-5796124aaa0d","","","","","","","","dpdt mini smd","","","","","","","R790"
"4d07fd74-3d1e-40f7-97d4-cacc4aab3f1c","","","","","","","JS102011SAQN","","","","","","","","R772"
"6f3b6949-5dad-48dd-8669-d58a3098fb35","","","","","","","","SW12X12-LED-WHITE","","","","","","","A0517"
"a2a03a61-154d-4138-bf91-fe2a331b5b0b","ENCODER, MAGNETIC","","","","","POLOLU","3499","","","","","","","","A0516"
"911a9f0c-5d18-4a64-bee2-6fda23af83c8","ENCODER, MAGNETIC","","","","","OSEPP","ENC-01","","","","","","","","A0516"
"eeae66e4-6553-4dbe-816f-6960a716d63a","SWITCH,CSPDT, MICRO WITH LEVER, RIGHT ANGLE","","","","","KOREAN HROPARTS","K9-1267B-L","","","","","","LCSC","C136688","A0415"
"93c47e28-4307-430a-9e52-ee0e09561d8e","","","","","","E-SWITCH","WITH LED","","","","","","","","A0701, A0700"
"78a9256f-3453-47bb-be44-aa703494f922","","","","","","PREH","WELLER BUTTON","","","","","","","","A0723"
"67654d4e-cc55-4ed8-a523-39b9d2f576e7","","","","","","CK","F2UEE","","","","","","","","A0812"
"6ce04a37-d028-4326-85f7-bf586e51aa4e","","","","","","CK","F2UEE TB","","","","","","","","A0813"
"9f6f2532-2af8-4ec2-91ba-b8c6d9cd2678","","","","","","TONELUCK","PBN-S2C35-AAG","","","","","","","","A0814"
"b878dc6d-1b9d-41ae-bea6-19c0e162f830","","","","","","CK","TSWB3NCB222LFS","","","","","","DIGIKEY","CKN10345-ND","A0858"
