"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","Model","Voltage","Supplier","Supplier PartNo","GenericName","Location","Power","Capacity","Chemistry"
"ab3248a3-d760-40ae-9950-f542506fe4d2","","","","","","FDK","CR14250SE","","","3V","","","","A0856","","","LITHIUM"
"89b465e7-b1c7-4373-b530-87c4293f9073","","","","","","PANASONIC","BR-2/3A","","","3V","","","","A0857","","","LITHIUM"
