"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","If","Color","LEDtype","Supplier","Supplier PartNo","GenericName","Location"
"ba6aba99-d96b-445c-874e-241b02865122","LED, WHITE, PIRANA","DIODE-LED-PIRANA-WHITE",".\SCHLIB\DIODES.SCHLIB","","","MISC","","PIRANA","","","WHITE","PIRANA","","","","MARS19"
"71769d96-f129-4351-b8a0-c3916646d79d","","","","","","CHICAGO MINI","7002X5","PLCC2","","","GREEN","","","","","R430, R431, R432"
"caeda7ba-1310-4b13-9437-681dec8e6de9","","","","","","","FC-DA1608BHRK-620D","0603","","","RED","0603","LCSC","","","A0147"
"7724404e-4a7e-411c-8d52-f2af4c99194b","","","","","","","QSD123-ND","5MM","","","IR","TH5MM","DIGIKEY","QSD123-ND","","A0154"
"4faaa78b-725f-492d-935a-259709ec55fc","","","","","","","HQ15-2202BYGC","","","","BLUE/YELLOW/GREEN","","LCSC","","","A0175"
"27e75344-0e1e-438e-af87-8dacbbb522d1","","","","","","","","","","","IR","TH5MM","DIGIKEY","QED123-ND","","A0172"
"f8aa3f5b-bb26-459e-8522-4b830a9799de","","","","","","WENRUN","LTD056BUE-103A","","","","7SEG 3CA MUX","","TME","","","A0226, A0245, A0229, A0190, A0244"
"519335f0-96d8-43cb-b5c5-a38976b1abf6","","","","","","","LN5643R-11","","","","7SEG 3CA MUX","","JAMECO","2125229","","A0238, A0195, A0243, A0218, A0219"
"b50af729-5e0f-4f1c-84a1-a3e8a48494c1","","","","","","NEWHAVEN","NHD-C12832A1Z-NSW-BBW-3V3","","","","LCD 128X32","","","","","A0160"
"78e81ddb-7b3f-42ec-8013-3301f64ffc67","","","","","","","ORH-B36G","","","","","","LCSC","","","A0170"
"8e34492c-cb54-457e-8b03-cbf5efcf92c5","","","","","","","NHD-C0216CIZ-FSW-FBW-3V3","","","","","","","","","A0577"
"fff30801-07b8-4fa4-b3d9-29a02fe94717","","","","","","","LS","Q976-NR-1","","","","","","","","A0374"
"80f7852b-029b-4536-bf74-cd340bfed512","","","","","","","","LTL911TGKS","","","","","","","","A0363"
"f90af700-857e-4e37-b29c-486fe63456f4","","","","","","","","LTD-6930HR","","","+1.8","","","","","A0283,  A0284"
"3ae541ef-f06d-48a3-ab18-b95f804ae72f","","","","","","","","NOKIA5110","","","","","","","","A0647"
"fb5d9c24-1450-448d-8728-edde6c96f8c0","","","","","","","CREE","CLA1B-WKW-XD0F0E13","","","","","","","","R613"
"1a8f11f7-3bcc-430e-8256-eacced6c666d","","","","","","","LRTBG6TG","","","","","","","","","R687"
"36703030-46d7-4613-bff2-6d99614a004a","LED, BARGRAPH, 10 X SUPERRED","","","","","","2510SR1","","","","","","","","","A0672, A0673"
"70d92677-37d2-48a8-8d1f-022564b2f8f4","","","","","","SUNLED","XZMDKCBDDG45S-9","","","","","","","","","R704"
"1f6c4c6c-c59a-43a8-a21c-2a12e7bc470f","","","","","","LCSC","LED YELLOW 0603","","","","","","","","","R700"
"a778c922-4d4a-474e-8bf2-b6f01c80542f","LED, HOLDER, CHROME, PANEL, 5MM","","","","","","","","","","","","","","","A0465"
"bbb54e45-11d5-4835-ad9d-52c80528d194","","","","","","","150141RB73100","PLCC4","","","RED/BLUE","","","","","R754"
"11b49f7d-ffa0-4604-bade-a6035b4583b8","","","","","","ORIENT","ORH-R36A","0603","","","ORANGE RED","","LCSC","","","R766"
"cf27a86b-034c-424e-863f-90c058a19132","","","","","","","NCD0603Y1","0603","","","","","","","","R782"
"623c536b-3bd0-479e-b76d-b80cd048f9cd","","","","","","","ORH-W46G","0603","","","","","","","","R773"
"3fdf5b02-e1a6-4120-89f7-31ff74881c72","","","","","","","NCD0603O1","0603","","","ORANGE","","","","","R786"
"b72f26c3-5f05-465e-9e68-42d75770df71","","","","","","","","0603","","","BLUE","","","","","R792"
"6d1b38cc-c1cb-4923-b96f-f0bed203bb1c","","","","","","","ORH-YG36A","0603","","","YELLOW-GREEN","","LCSC","","","A0418"
"2a6acddc-e5a7-4d7f-a39a-10d654bf848c","","","","","","","ORH-W46G","","","","WHITE","","LCSC","","","A0412"
"efe0420c-dcba-423f-8593-83a519d82ca5","","","","","","","OLED128X32","MODULE I2C","","","","","","","","A0398, A0399"
"d6e3bee3-2c84-47ac-8b26-021cf43424a3","","","","","","BROADCOM","HCNR200","","","","","","","","","A0422"
"2ba73f51-4da9-4301-a320-03fbff62e85b","","","","","","PANASONIC","LN363GCP","","","","","","","","","A0794"
"090b1543-206c-402f-a495-49cf811e3ae5","","","","","","","LTL4233","","","","","","","","","A0845"
"0c75385f-7dc3-44a8-9001-d074148d8dc8","","","","","","","HLMP-1719","","","","","","","","","A0846, A0847"
