"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","If","Color","LEDtype","Supplier","Supplier PartNo","GenericName","Location"
37,,,,,,,"ORH-B36G",,,,,,"LCSC",,,"A0170"
38,,,,,,,"NHD-C0216CIZ-FSW-FBW-3V3",,,,,,,,,"A0577"
39,,,,,,,"LS","Q976-NR-1",,,,,,,,"A0374"
40,,,,,,,,"LTL911TGKS",,,,,,,,"A0363"
41,,,,,,,,"LTD-6930HR",,,"+1.8",,,,,"A0283,  A0284"
42,,,,,,,,"NOKIA5110",,,,,,,,"A0647"
43,,,,,,,"CREE","CLA1B-WKW-XD0F0E13",,,,,,,,"R613"
44,,,,,,,"LRTBG6TG",,,,,,,,,"R687"
45,"LED, BARGRAPH, 10 X SUPERRED",,,,,,"2510SR1",,,,,,,,,"A0672, A0673"
46,,,,,,"SUNLED","XZMDKCBDDG45S-9",,,,,,,,,"R704"
47,,,,,,"LCSC","LED YELLOW 0603",,,,,,,,,"R700"
48,"LED, HOLDER, CHROME, PANEL, 5MM",,,,,,,,,,,,,,,"A0465"
49,,,,,,,"150141RB73100","PLCC4",,,"RED/BLUE",,,,,"R754"
50,,,,,,"ORIENT","ORH-R36A","0603",,,"ORANGE RED",,"LCSC",,,"R766"
51,,,,,,,"NCD0603Y1","0603",,,,,,,,"R782"
52,,,,,,,"ORH-W46G","0603",,,,,,,,"R773"
53,,,,,,,"NCD0603O1","0603",,,"ORANGE",,,,,"R786"
54,,,,,,,,"0603",,,"BLUE",,,,,"R792"
55,,,,,,,"ORH-YG36A","0603",,,"YELLOW-GREEN",,"LCSC",,,"A0418"
56,,,,,,,"ORH-W46G",,,,"WHITE",,"LCSC",,,"A0412"
57,,,,,,,"OLED128X32","MODULE I2C",,,,,,,,"A0398, A0399"
58,,,,,,"BROADCOM","HCNR200",,,,,,,,,"A0422"
59,,,,,,"PANASONIC","LN363GCP",,,,,,,,,"A0794"
60,,,,,,,"LTL4233",,,,,,,,,"A0845"
61,,,,,,,"HLMP-1719",,,,,,,,,"A0846, A0847"
