"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype","Mounting"
"a5f29e8f-89c8-473a-ad60-160885700a3a","","","","","IC,LOGIC,DUAL AND4,SN74HC21,DIP14","TI","SN74HC21","A0316","","","","","","SN74HC21","DIP14","LOGIC,DUAL AND4",""
"5122597d-65e7-4351-9244-5b221183150f","","","","","IC,MC14051,DIP16","MOTOROLA","MC14051","A0215","","","","","","MC14051","DIP16","",""
"4bbc66ae-3b9e-4f37-9b34-01d1d5753f36","","","","","IC,39SF020,PLCC3,SMD","SST","39SF020","A0365","","","","","","39SF020","PLCC3","","SMD"
"b6050f47-34d4-4e1c-b068-68b68d47f21f","","","","","IC,LM311P,DIP8","TI","LM311P","A0320","","","","","","LM311P","DIP8","",""
"f64240de-a6bc-49a1-924a-4d66783d996f","","","","","IC,LF411CP,DIP8","TI","LF411CP","A0323","","","","","","LF411CP","DIP8","",""
"e9aa09c7-253d-47f9-90af-53c19415ecf1","","","","","IC,LMD18201,PENTAWATT","NATIONAL","LMD18201","A0368","","","","","","LMD18201","PENTAWATT","",""
"70e08a3a-d5c9-4428-95e3-6d089c17087e","","","","","IC,L4931CZ33-AP,TO92","ST","L4931CZ33-AP","A0382","","","","","","L4931CZ33-AP","TO92","",""
"60d9bb76-c906-43f5-a685-30100bbd7d8b","","","","","IC,74LVCX4245,SO24W,SMD","FAIRCHILD","74LVCX4245","A0364","","","","","","74LVCX4245","SO24W","","SMD"
"3a01dfbe-595d-4318-86d3-6fe4912b33ef","","","","","IC,OPAMP,SINGLE,LM741,DIP8","TI","LM741","A0325","","","","","","LM741","DIP8","OPAMP,SINGLE",""
"dd74c2db-fc8b-46b1-afec-496fd73386c6","","","","","IC,CD74HC393,DIP14","HARRIS","CD74HC393","A0312","","","","","","CD74HC393","DIP14","",""
"363da630-a509-4497-a4a2-99b14cfd5367","","","","","IC,FPGA,AP1C3T144C8,TQFP144","ALTERA","AP1C3T144C8","A0366","","","","","","AP1C3T144C8","TQFP144","FPGA",""
