"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Voltage","Power","Capacity","Chemistry"
"ab3248a3-d760-40ae-9950-f542506fe4d2","","","","","","FDK","CR14250SE","A0856","","
SY605-ND","","","
2741143","cr14250","3V","","850mah","LITHIUM"
"89b465e7-b1c7-4373-b530-87c4293f9073","","","","","","PANASONIC","BR-2/3A","A0857","","","","","","","3V","","","LITHIUM"
