"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Resistance","Tempco","Voltage","RESType","Supplier","Supplier PartNo","Tolerance","Wattage","Location"
269,"RES,TH,2K,5%,1/4W,CARBONFILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"2K",,,"CARBON","JAMECO",,"5%","1/4W","A0232"
270,"RES, TH, 150R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"150R",,,"CARBON","JAMECO",,"5%","1/4W","A0189"
271,"RES, TH, 470K, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"470K",,,"CARBON","JAMECO",,"5%","1/4W","A0241"
272,"RES, TH, 220R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"220R",,,"CARBON","JAMECO",,"5%","1/4W","A0194"
273,"RES, TH, 270R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"270R",,,"CARBON","JAMECO",,"5%","1/4W","A0192"
274,"RES, TH, 33K, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"33K",,,"CARBON","JAMECO",,"5%","1/4W","A0251"
275,"RES, TH, 330R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"330R",,,"CARBON","JAMECO",,"5%","1/4W","A0228"
276,"RES, TH, 5K6, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"5K6",,,"CARBON","JAMECO",,"5%","1/4W","A0234"
277,"RES, TH, 10R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"10R",,,"CARBON","JAMECO",,"5%","1/4W","A0196"
278,"RES, TH, 47K, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"47K",,,"CARBON","JAMECO",,"5%","1/4W","A0191"
279,"RES, TH, 2K2, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"2K2",,,"CARBON","JAMECO",,"5%","1/4W","A0237"
280,"RES, TH, 1K5, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"1K5",,,"CARBON","JAMECO",,"5%","1/4W","A0247"
281,"RES, TH, 100R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"100R",,,"CARBON","JAMECO",,"5%","1/4W","A0246"
282,"RES, TH, 10M, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"10M",,,"CARBON","JAMECO",,"5%","1/4W","A0255"
283,"RES, TH, 15K, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"15K",,,"CARBON","JAMECO",,"5%","1/4W","A0235"
284,"RES, TH, 3K3, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH1000P",,"JAMEPRO",,"RTH1/4W",,"3K3",,,"CARBON","JAMECO",,"5%","1/4W","A0210"
285,,,,,,,,"RTH1/4W",,"5K",,,,,,"0.1%","1/4W","A0180"
286,,,,,,,,"RTH1/4W",,"8K98",,,,,,"0.1%","1/4W","A0176"
287,,,,,,,,"RTH1/4W",,"8K87",,,,,,"1%","1/4W","A0208"
288,,,,,,,,"RTH1/4W",,"191R",,,,,,"1%","1/4W","A0206"
289,,,,,,,,"RTH1/4W",,"88R7",,,,,,"1%","1/4W","A0220"
290,,,,,,"CADDOCK","1787-31","HYBRID",,,,,,,,,,"A0157"
291,,,,,,"CADDOCK","1776-241","HYBRID",,,,,,,,,,"A0193"
292,,,,,,"CADDOCK","1776-C752","HYBRID",,,,,,,,,,"A0211"
293,,,,,,"CADDOCK","1787-13","HYBRID",,,,,,,,,,"A0230"
294,,,,,,,"89PR20KLF","TRIM-HOR-LONG",,"20K",,,,,,,,"A0187"
295,,,,,,"BAOTER","3296-502","TRIM-MT-VERT",,"5K",,,,,,,,"A0158"
296,,,,,,"RFERFE International resistors","CR501/2-WJ","RTH1/2WD",,"15R",,,,,,"2%","1/2W","A0628"
297,,,,,,"CADDOCK","SR10-1.00-1%","HYBRID-4W",,"1R",,,,,,"1%","1W","A0319"
298,,,,,,"CADDOCK","SR10-0.10-1%","HYBRID-4W",,"0R1",,,,,,"1%","1W","A0321"
299,,,,,,,"89PR20LF","TRIM",,"20R",,,,,,,"3/4W","A0390"
300,,,,,,,"89PR2KLF",,,"2K",,,,,,,,"A0389"
301,,,,,,,"89PR100LF",,,"100R",,,,,,,,"A0391"
302,,,,,,,"MFR-25FRF52-887R","1/4",,"887R",,,,,,"1%","1/4W","A0388"
303,,,,,,,"MFR-25FBF52-88K7",,,"88K7",,,,,,"1%","1/4W","A0326"
304,,,,,,,"MFR-25FTE52-887K",,,"887K",,,,,,"1%","1/4W","A0322"
305,,,,,,,"MBA02040C2200FC100",,,"220R",,,,,,"1%","1/4W","A0200"
306,,,,,,,"RNF14FAD100R",,,"100R",,,,,,"1%","1/4W","A0324"
307,,,,,,"AMETHERM","SL03 20001",,,"20R",,,"INRUSH",,,,,"A0286"
308,,,,,,"TEPRO","TG5 2700",,,"2K7",,,,,,"5%","5W","A0278"
309,,,,,,,"YR1B1MOCC",,,,,,,,,,,"A0258"
310,,,,,,,"MF0204FTE52-1M5",,,,,,,,,,,"A0287"
311,,,,,,,"MF0207JT-52-0R1",,,,,,,,,,,"A0288"
312,,,,,,,"SL05 60001",,,"60R",,,"INRUSH",,,,,"A0256"
313,,,,,,,"RNC55J1113BSB14",,,,,,,,,,,"A0257"
314,,,,,,,"SR3R1000FE6S",,,"0R1",,,,,,"1%",,"A0300"
315,,,,,,"DALE","NS5 560R 5W",,,"560R",,,,,,"5%","5W","A0280"
316,,,,,,,"BR3FBR100",,,"0R1",,,,,,,,"A0296"
317,,,,,,,"RNF14BTE100K",,,,,,,,,,,"A029"
318,,,,,,,"OAR1R100FLF",,,"0R1",,,,,,,,"A0299"
319,,,,,,,"MBB02070C1504FCT00",,,,,,"METALFILM",,,,,"A0131"
320,,,,,,"CADDOCK","1776-C68","HYBRID",,,,,"HYBRID",,,,,"A0136"
321,,,,"RESTH2250P600D",,,,"16.8MM",,"10R",,,"CARBON",,,"5%","3W","A0661, A0686"
322,,,,"RESTH2000P500D",,,,,,"1R",,,"CARBON",,,"5%","2W","A0684"
323,,,,"RESTH2000P500D",,,,,,"2R2",,,"CARBON",,,"5%","2W","A0662"
324,,,,,,"BOURNS","3262-5K",,,"5K",,,"TRIM",,,,,"A0675"
325,,,,,,"DALE","CW-2B 1K",,,"1K",,,,,,"5%","3W","A0640"
326,,,,,,,"PTV112-4420A-B503",,,"50K",,,,,,,,"A0689"
327,,,,,,"OHMITE","FC4L110R050FER","4320",,"0R050",,,"4WIRE",,,,,"R615"
328,,,,,,"DALE","RS-5 150R 1%",,,"150R",,,,,,"1%","5w","A0648"
329,,,,,,,"SXA0922-300-390R-5%",,,"390R",,,,,,"5%","4W","A0682"
330,,,,,,"OHMITE","23J330",,,"330R",,,,,,"5%","3W","A0674"
331,,,,,,"DALE","RS2B-2-1%",,,"0R2",,,,,,"1%","3W","A0679"
332,,,,,,"DALE","CW2B-1K-5%",,,"1K",,,,,,"5%","3W","A0642"
333,,,,,,"CTS","743C083100JTR","2008",,"4X10R",,,,"DIGIKEY","743-083-R100TR-ND","5%","1/10W","R742, R743"
334,,,,,,,"RMCF0603JG10K0",,,,,,,,,,,"R776"
335,,,,,,,"ERJ-3EKF1002V",,,,,,,,,,,"R789"
336,,,,,,,"RC0805FR-0710ML",,,,,,,,,,,"R798"
337,,,,,,,"RC0603FR-0712K1L",,,,,,,,,,,"R785"
338,,,,,,,"CR0603-JW-331ELF",,,,,,,,,,,"R780"
339,,,,,,,"RC1608F331CS",,,,,,,,,,,"R799"
340,"RESISTOR, HIGH VOLTAGE, FILM 13.55MM",,,,,"LASERPRINTER CORONA",,,,"50M",,,,,,,,"A0439"
341,"RESISTOR, HIGH VOLTAGE, FILM 13.55MM",,,,,"LASERPRINTER CORONA",,,,"30M",,,,,,,,"A0439"
342,"RESISTOR, HIGH VOLTAGE, FILM 13.55MM",,,,,"LASERPRINTER CORONA",,,,"150M",,,,,,,,"A0439"
343,"RESISTOR, HIGH VOLTAGE, FILM 13.55MM",,,,,"LASERPRINTER CORONA",,,,"40M",,,,,,,,"A0439"
344,"RESISTOR, HIGH VOLTAGE, FILM 8MM",,,,,"LASERPRINTER CORONA",,,,"100M",,,,,,,,"A0439"
345,"RESISTOR, HIGH VOLTAGE, FILM 8MM",,,,,"LASERPRINTER CORONA",,,,"20M",,,,,,,,"A0439"
346,"RESISTOR, HIGH VOLTAGE, FILM 8MM",,,,,"LASERPRINTER CORONA",,,,"10M",,,,,,,,"A0439"
347,,,,,,,,,,"0R1",,,,,,"5%","2W","A0514"
348,,,,,,,,,,"1K",,,,,,"2%","2W","A0515"
349,,,,,,,,,,"47R",,,,,,"5%","5W","A0522"
350,,,,,,,,,,"8R2",,,,,,"5%","5W","A0523"
351,,,,,,,"TCC 0041 TR10F1006J",,,"100M",,,,,,"5%","1W","A0524"
352,,,,,,,,,,"10R",,,,,,"5%","2W","A0519"
353,,,,,,"IRC","MAR5 2.5K .05% T16",,,"2K5",,,,"ANCHOR",,"0.05%","1/10W","A0441"
354,,,,,,"GPI","2K 0.1%",,,"2K",,,,,,"0.1%",,"A0491"
355,,,,,,,"PTF56 2K5 BT13",,,"2K5",,,,,,"0.1%",,"A0446"
356,,,,,,"TRW","20K 0.1% T10",,,"20K",,,,,,"0.1%",,"A0478"
357,,,,,,,"PRI/10K 0.1% TC25",,,"10K",,,,,,"0.1%",,"A0471"
358,,,,,,"BOURNS","3006P-1-502VP",,,"5K",,,"TRIM MT HOR","JAMECO","41890",,,"A0690"
359,,,,,,,"MF1/4DCT52R4700F",,,,,,,,,,,"A0708"
360,,,,,,"BI","84WR200LF",,,,,,,,,,,"A0713"
361,,,,,,,,"TH",,"10K",,,,,,"1%","1/4W","A0714, A0716, A0731, A0728"
362,,,,,,,"CW2B-1K-5%","TH",,"1K",,,,"EBAY",,"5%","3W","A0717, A0718"
363,,,,,,,,"TH",,"13K",,,,,,"1%",,"A0726"
364,,,,,,"JAMECO","690911","TH",,"1K6",,,,"JAMECO","690911","5%","1/4W","A0734"
365,,,,,,"JAMECO",,"TH",,"1K5",,,,"JAMECO",,"5%","1/4W","A0733"
366,,,,,,"JAMECO",,"TH",,"4K7",,,,"JAMECO",,"5%","1/4W","A0735"
367,,,,,,"JAMECO",,"TH",,"10K",,,,"JAMECO",,"5%","1/4W","A0737"
368,,,,,,"JAMECO",,"TH",,"240R",,,,"JAMECO",,"5%","1/4W","A0736"
369,,,,,,"YAGEO","MFR-25FTE52-2K","TH",,"2k",,,,"MOUSER",,"1%","1/4W","A0738"
370,,,,,,"YAGEO","MFR-25FTE52-100K","TH",,"100K",,,,"MOUSER",,"1%","1/4W","A0739"
371,,,,,,"YAGEO","MFR-25FTE52-9K76","TH",,"9K76",,,,"MOUSER",,"1%","1/4W","A0740"
372,,,,,,"YAGEO","MFR-25FTE52-9K53","TH",,"9K53",,,,"MOUSER",,"1%","1/4W","A0741"
373,,,,,,"YAGEO","MFR-25FTE52-1K3","TH",,"1K3",,,,"MOUSER",,"1%","1/4W","A0742"
374,,,,,,"YAGEO","MFR-25FTE52-30R","TH",,"30R",,,,"MOUSER",,"1%","1/4W","A0743"
375,,,,,,"YAGEO","MFR-25FTE52-1K","TH",,"1K",,,,"MOUSER",,"1%","1/4W","A0744"
376,,,,,,"YAGEO","MFR-25FTE52-2K26","TH",,"2K26",,,,"MOUSER",,"1%","1/4W","A0745"
377,,,,,,"YAGEO","MFR-25FTE52-130R","TH",,"130R",,,,"MOUSER",,"1%","1/4W","A0746"
378,,,,,,"EBAY",,"TH",,"9K09",,,,,,"1%","1/4W","A0830"
