"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","Model","Voltage","Supplier","Supplier PartNo","GenericName","Location","Power","Capacity","Chemistry"
1,,,,,,"FDK","CR14250SE",,,"3V",,,,"A0856",,,"LITHIUM"
2,,,,,,"PANASONIC","BR-2/3A",,,"3V",,,,"A0857",,,"LITHIUM"
