"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Location"
"9a0a25dd-427b-4786-b21f-b836efd79af4","BJT, NPN, 30V, 0.5A, NXP, BSR13, SOT23","","","","","NXP","BSR13","SOT23","","","","30V","0.5A","","NPN","A0074"
"3c70fa28-4fa0-48ac-94a0-4a3630834874","BJT, PNP, 65V, 0.1A, NXP, BC856B, SOT23","","","","","NXP","BC856B","SOT23","","","","65V","0.1A","","PNP","A0077"
"6da35969-ee84-4e51-b745-5c9750cb8359","BJT, NPN, 40V, 0.2A, ONSEMI, MMBT3904, SOT23","","","","","ONSEMI","MMBT3904","SOT23","","","","40V","0.2A","","NPN","A0165"
"6b1b6afd-4401-4583-a2c1-1191ec57a27e","BJT, PNP, 80V, 1.5A, DIOTEC, BD140-16-CDI, TO126","","","","","DIOTEC","BD140-16-CDI","TO126","","","","80V","1.5A","","PNP","A0182"
"f358cd92-4cbd-47ca-ae33-103b705073fb","BJT, PNP, 80V, 1.5A, NXP, BD140, TO126","","","","","NXP","BD140","TO126","","DIGIKEY","497-6657-5-ND","80V","1.5A","","PNP","A0239"
"6ff1bcfc-5734-40de-b8e6-114c182e4f4e","BJT, PNP, 40V, 0.6A, DIOTEC, 2N2907A, TO92","","","","","DIOTEC","2N2907A","TO92","","TME","","40V","0.6A","","PNP","A0222, A0225"
"d04865bc-c467-4960-b020-0d1ce1bbe679","BJT, PNP, 80V, 1.5A, DIOTEC, BD140-10-CDI, TO126","","","","","DIOTEC","BD140-10-CDI","TO126","","TME","","80V","1.5A","","PNP","A0217"
"74670444-c108-4b70-9f54-628c5e95bc5f","BJT, NPN, 40V, 0.6A, DIOTEC, 2N2222, TO92","","","","","DIOTEC","2N2222","TO92","","TME","","40V","0.6A","","NPN","A0204"
"da47cb62-3164-4c7f-9cfd-ead7175c178f","BJT, NPN, 300V, 0.5A, ONSEMI, MPSA42, TO92","","","","","ONSEMI","MPSA42","TO92","","JAMECO","","300V","0.5A","","NPN","A0199"
"44a3821e-476f-459d-81cb-483bc3b8d0cf","BJT, DARLINGTON NPN, 30V, 0.5A, CDR, MPSA14-CDI, TO92","","","","","CDR","MPSA14-CDI","TO92","","","","30V","0.5A","","DARLINGTON NPN","A0202"
"c9992408-791e-4c66-a12f-04877ed7c704","BJT, PNP, 40V, 0.2A, DIOTEC, 2N3906-DIO, TO92","","","","","DIOTEC","2N3906-DIO","TO92","","","","40V","0.2A","","PNP","A0253"
"569f5419-9c75-4208-8a9e-9f3dbb915cff","BJT, DARLINGTON NPN, 30V, 0.5A, ONSEMI, MPSA14, TO92","","","","","ONSEMI","MPSA14","TO92","","JAMECO","","30V","0.5A","","DARLINGTON NPN","A0198"
"6317c236-ff84-41aa-bb57-52b680fba1f5","BJT, PNP, 60V, 0.5A, ONSEMI, MPSA55, TO92","","","","","ONSEMI","MPSA55","TO92","","JAMECO","","60V","0.5A","","PNP","A0139"
"7e096147-4808-4053-8c49-2d04296e0d90","BJT, NPN, 60V, 0.5A, ONSEMI, MPSA05, TO92","","","","","ONSEMI","MPSA05","TO92","","JAMECO","","60V","0.5A","","NPN","A0185"
"3179f6ed-1b6a-41d3-8048-a5669c322c80","BJT, DUAL PNP, 12V, 2.5A, ZETEX, ZDT717TA, SM8","","","","","ZETEX","ZDT717TA","SM8","","","","12V","2.5A","","DUAL PNP","A0161"
"a03198ca-ed5e-444e-8ab1-c204380cf5d3","BJT, DARLINGTON NPN, 400V, 6A, TOSHIBA, TTD1409B, ISO220","","","","","TOSHIBA","TTD1409B","ISO220","","","","400V","6A","","DARLINGTON NPN","A0207"
"23a9b02d-247a-4da5-847e-20dbfcb9d15a","BJT, PNP, 30V, 0.1A, NXP, BC858C, SOT23","","","","","NXP","BC858C","SOT23","","LCSC","","30V","0.1A","","PNP","A0149"
"d47cc905-e974-47a4-a6d5-89c23b60f839","BJT, NPN, 15V, 0.2A, ITT, 2N2369A, TO18","","","","","ITT","2N2369A","TO18","","","","15V","0.2A","","NPN","A0600"
"6cf1caf2-f162-452e-a1b6-9bf86dbc794e","BJT, NPN 2.5GHZ, 10V, 0.015A, ONSEMI, 2N5835, TO72","","","","","ONSEMI","2N5835","TO72","","","","10V","0.015A","","NPN 2.5GHZ","A0592"
"2c3541c0-215a-45b0-91e4-7a0dafcb23f8","BJT, NPN, 40V, 1A, NATIONAL, MPS6531, TO92","","","","","NATIONAL","MPS6531","TO92","","","","40V","1A","","NPN","A0596"
"0337a519-cea0-4975-8c54-73aff4459688","BJT, NPN, 60V, 25A, CENTRAL, TIP35, TO247","","","","","CENTRAL","TIP35","TO247","","","","60V","25A","","NPN","A0597"
"d22cbc58-a488-40d0-837c-b531785083ec","BJT, PNP, 100V, 25A, TI, TIP36C, TO218","","","","","TI","TIP36C","TO218","","","","100V","25A","","PNP","A0574"
"d6c6b48a-3139-47ba-a116-4a31d34e5878","BJT, NPN, 15V, 0.2A, SYNERTEC, 2N2369A, TO18","","","","","SYNERTEC","2N2369A","TO18","","","","15V","0.2A","","NPN","A0571, A0676"
"39c088e2-2824-4a09-9911-be10eb69ba63","BJT, PNP, 230V, 15A, ST, 2STA1943, TO264","","","","","ST","2STA1943","TO264","","","","230V","15A","","PNP","A0593"
"4adffaf4-428d-4f3f-b253-2e95fb07f182","BJT, THYRISTOR, 200V, 20A, TECCOR (LITTELFUSE), S2020, TO220","","","","","TECCOR (LITTELFUSE)","S2020","TO220","","","","200V","20A","","THYRISTOR","A0606"
"ec17088b-a536-4baf-a3f4-8488ec1cc0cd","BJT, THYRISTOR, 400V, 35A, ONSEMI, MCR265, TO220","","","","","ONSEMI","MCR265","TO220","","","","400V","35A","","THYRISTOR","A0334"
"a0cd3a78-89a9-4e95-a8bb-c8ea1c7465c3","BJT, JFET P-CH, 30V, 0.015A, INTERFET, J270, TO92","","","","","INTERFET","J270","TO92","","","","30V","0.015A","","JFET P-CH","A0318"
"6cc91595-d631-412b-8e4e-a7d173ed3a64","BJT, JFET N-CH, 25V, 0.005A, FAIRCHILD, J109, TO92","","","","","FAIRCHILD","J109","TO92","","MOUSER","512-J109","25V","0.005A","","JFET N-CH","A0317"
"203c913f-70b8-4d57-8b88-4652a511ea90","BJT, P-CH, 20V, 2.5A,  ST, STS2DPFS20V, SO8","","","",""," ST","STS2DPFS20V","SO8","","","","20V","2.5A","","P-CH","A0270, A0281"
"a6f59f68-9cc2-4eec-9087-7ee8cce5e94a","BJT, N-CH, 30V, 50A, KIA, KIA50N03AD, DPAK","","","","","KIA","KIA50N03AD","DPAK","","","","30V","50A","","N-CH","A0263"
"3875da5d-093b-4698-b3db-b8c127dad898","BJT, N-CH, 600V, 6A, INFINEON, IPA60R280P7SXXKSA1, ISO220","","","","","INFINEON","IPA60R280P7SXXKSA1","ISO220","","","","600V","6A","","N-CH","A0292"
"96df0be7-20e6-4c90-a8d2-ecbb71247fbc","BJT, PNP, 65V, 0.1A, NXP, BC856B, SOT23","","","","","NXP","BC856B","SOT23","","","","65V","0.1A","","PNP","A0266"
"a8b1fee8-7e20-41a8-838e-4ac84f2d2a6b","BJT, PNP, 40V, 0.6A, ONSEMI, 2N2907, TO18","","","","","ONSEMI","2N2907","TO18","","","","40V","0.6A","","PNP","A0272"
"071155d5-fde1-4c3b-9f50-2b64d10021eb","BJT, JFET N-CH, 35V, 0.02A, INTERFET, J111, TO92","","","","","INTERFET","J111","TO92","","","","35V","0.02A","","JFET N-CH","A0285"
"e1581d88-f96e-464c-822b-c5d91465eb3f","BJT, N-CH, 600V, 18A, INFINEON, IPA60R180P7SXKSA1, ISO220","","","","","INFINEON","IPA60R180P7SXKSA1","ISO220","","","","600V","18A","","N-CH","A0293"
"7061233e-003c-4a2c-95e7-9bd82e5a8749","BJT, PNP, 250V, 16A, ONSEMI, MJL21193, TO264","","","","","ONSEMI","MJL21193","TO264","","","","250V","16A","","PNP","A0688"
