"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo"
"600103b5-cb93-4c58-9faf-c8d2c9980d09","","","","","SWITCH, CAP FOR TEKTRONIX 1103 SWITCH","","","A0624","","","","","NKK","AT488JB","","","","","","",""
"d7de8ff1-7b73-488d-9ab3-71e3bbb078ef","","","","","SWITCH, CAP, PBH SERIES, BLACK","","","A0455","","","","","E-SWITCH","1RBLK","","","TH","DPDT RA PUSH","","MOUSER",""
"3f70c145-6170-4bc7-a7d6-e56527b1edc2","","","","","SWITCH, DPDT, RA, PUSH","","","A0456, A0457, A0458, A0459","","","","","E-SWITCH","PBH2UEEKZXNAGX","","","TH","DPDT RA PUSH","","",""
"ec14a67a-846b-4d12-ae95-8d8cab3edf19","","","","","SWITCH, CAP, PBH SERIES, DARK GREY","","","A0455","","","","","E-SWITCH","1RDGR","","","","","","",""
"5e29bf8d-d1d7-4172-bde4-5fb7bbd18402","","","","","SWITCH, CAP, PBH SERIES, RED","","","A0455","","","","","E-SWITCH","1RRED","","","","","","",""
"1f6d66a7-eb03-46a1-968b-b438cc6cb679","","","","","SWITCH, CAP, PBH SERIES, WHITE","","","A0455","","","","","E-SWITCH","1RWHT","","","","","","",""
"4bf494d2-57d4-4d32-9901-dc51c655c648","","","","","SWITCH, CAP, PBH SERIES, LIGHT GREY","","","A0455","","","","","E-SWITCH","1RLGR","","","","","","",""
"21cab66a-24aa-4c7a-b80b-85191c106751","","","","","SWITCH, CAP, ENCODER AGILENT, SMALL","","","A0464","","","","","AGILENT","INFINIIUM","","","","","","",""
"1f3317fa-34f1-4813-8e6c-890c4806fefc","","","","","SWITCH, CAP, ENCODER AGILENT, MEDIUM","","","A0445","","","","","AGILENT","INFINIIUM","","","","","","",""
"715f79cb-d6b8-43b4-8fea-587f633d5be5","","","","","SWITCH, DPDT, RA, PUSH, ILLUMINATED, SILVER CAP WITH IO SIGN","","","","","","","","E-SWITCH","WBL2UEEGQR05SILPWR","","","","","","",""
"b4f0c4cc-ec76-4efb-9b02-db1b831c39b1","","","","","SWITCH, DPDT, RA, PUSH, ILLUMINATED, BLACK CAP WITH IO SIGN","","","","","","","","E-SWITCH","WBL2UOAGYQR05BLKPWR","","","","","","",""
"ffa830be-723e-42ea-80da-ec8684dfdef3","","","","","SWITCH, DPDT, RA, PUSH, ILLUMINATED, CLEAR CAP,","","","A0501, A0502","","","","","E-SWITCH","WBL2UOARQ","","","","","","",""
"03e3abf0-fc78-4e9b-9fa3-ff04a1f7f84b","","","","","SWITCH, MOM, VERTICAL, MEC, PLUNGER FOR CAP","","","A0473, A0452, A0186","","","","","MEC","3FTH9","","","","","","",""
"54dba403-059b-48cb-b07b-3547f53f924e","","","","","SWITCH, MOM, VERTICAL, MEC, 20G, NO PLUNGER, GREY","","","A0493","","","","","MEC","5GTH920","","","","","","",""
"ed87bc06-8c7a-4ccc-ac49-e1d66c904847","","","","","SWITCH, MOM, VERTICAL, MEC, 35G, NO PLUNGER, BLACK","","","A0486","","","","","MEC","5GTH935","","","","","","",""
"252a6d93-a251-46d0-b638-f754e9dc5a28","","","","","","","","A0477","","","","","","PTS645SM43SMTR92LFS","","","","","","",""
"0ef769ea-3f54-4cd4-9e20-676c3348c0f1","","","","","","","","R767","","","","","","EVP-AEGE2A","","","","","","",""
"dff32636-8cd3-48e7-ac90-5796124aaa0d","","","","","","","","R790","","","","","","","dpdt mini smd","","","","","",""
"4d07fd74-3d1e-40f7-97d4-cacc4aab3f1c","","","","","","","","R772","","","","","","JS102011SAQN","","","","","","",""
