"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Value","Tempco","Voltage","CapType","Supplier","Supplier PartNo","Dielectric"
"a9e82b9d-bfd7-4361-b0d7-a10abce839db","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,150NF,50V,0805","EBAY","","R517","","","","","","EBAY","","0805","","150NF","X7R","50V","CER","","",""
"ad8807c6-be7a-4706-b774-37202dabb8ed","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,4N7,50V,0805","EBAY","","R518","","","","","","EBAY","","0805","","4N7","X7R","50V","CER","","",""
"7241f935-1683-443b-a4d9-ea5890ed1802","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,20PF,50V,0805","EBAY","","R519","","","","","","EBAY","","0805","","20PF","X7R","50V","CER","","",""
"4762895c-3290-4e2e-bd0d-7f87edebbadb","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,100PF,50V,0805","EBAY","","R520","","","","","","EBAY","","0805","","100PF","X7R","50V","CER","","",""
"e313627d-7f59-4eaf-a436-1d32f4fad79a","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,2N2,50V,0805","EBAY","","R521","","","","","","EBAY","","0805","","2N2","X7R","50V","CER","","",""
"af973989-f450-4a31-9238-7b363cfc9c10","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,3N3,50V,0805","EBAY","","R522","","","","","","EBAY","","0805","","3N3","X7R","50V","CER","","",""
"27cf19c7-c0d0-4c11-a474-4025ab0d8aff","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,220NF,50V,0805","EBAY","","R523","","","","","","EBAY","","0805","","220NF","X7R","50V","CER","","",""
"629bb573-6113-4fd7-b2e5-2271d6c070d2","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,330NF,50V,0805","EBAY","","R524","","","","","","EBAY","","0805","","330NF","X7R","50V","CER","","",""
"154741da-8405-44ec-a925-0d9ee3b56bec","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10PF,50V,0805","EBAY","","R525","","","","","","EBAY","","0805","","10PF","X7R","50V","CER","","",""
"7e0c2fc1-d74e-4879-9b82-cacec6db1754","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,680NF,50V,0805","EBAY","","R526","","","","","","EBAY","","0805","","680NF","X7R","50V","CER","","",""
"e626b799-a37f-4d2b-af8e-b51414cec1fa","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R527","","","","","","EBAY","","0805","","470NF","X7R","50V","CER","","",""
"606325b7-c54f-432e-add5-47e854c04613","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,68NF,50V,0805","EBAY","","R528","","","","","","EBAY","","0805","","68NF","X7R","50V","CER","","",""
"fbe26e06-08df-46c4-875a-fe9fb7db1f1f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,47NF,50V,0805","EBAY","","R529","","","","","","EBAY","","0805","","47NF","X7R","50V","CER","","",""
"5acb309c-e658-4cf0-993f-d685aaabce1f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R530","","","","","","EBAY","","0805","","470NF","X7R","50V","CER","","",""
"e1c56193-1fbd-43c1-9fb1-a0c755f07812","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,33NF,50V,0805","EBAY","","R531","","","","","","EBAY","","0805","","33NF","X7R","50V","CER","","",""
"bb625564-260e-4b0d-89d4-789e9cd67a2d","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,1NF,50V,0805","EBAY","","R532","","","","","","EBAY","","0805","","1NF","X7R","50V","CER","","",""
"aa18f015-9717-427b-89dd-6e3a2dcd215d","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,4U7,50V,0805","EBAY","","R533","","","","","","EBAY","","0805","","4U7","X7R","50V","CER","","",""
"cb911f9b-a62f-407e-aa3d-0df04e84debc","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,4U7,50V,0805","EBAY","","R534","","","","","","EBAY","","0805","","4U7","X7R","50V","CER","","",""
"76cece5f-9455-4a39-b024-0a96b6639908","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R535","","","","","","EBAY","","0805","","470NF","X7R","50V","CER","","",""
"1ec17ee9-db0b-4099-b755-8f2de3d87fc9","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R536","","","","","","EBAY","","0805","","470NF","X7R","50V","CER","","",""
"79ea8b20-de15-4764-bc43-44abe0f29b74","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10UF,50V,0805","EBAY","","R537","","","","","","EBAY","","0805","","10UF","X7R","50V","CER","","",""
"374a52db-b7d3-4288-bb98-995232c164d9","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10UF,50V,0805","EBAY","","R538","","","","","","EBAY","","0805","","10UF","X7R","50V","CER","","",""
"883a504b-d60b-493d-acff-001c843c41be","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10UF,50V,0805","EBAY","","R539","","","","","","EBAY","","0805","","10UF","X7R","50V","CER","","",""
"3a178e5a-8b44-4570-98e1-992262357c61","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,2U2,50V,0805","EBAY","","R540","","","","","","EBAY","","0805","","2U2","X7R","50V","CER","","",""
"3e61b72a-7745-4142-a0c3-208dd50dbfe6","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,2U2,50V,0805","EBAY","","R541","","","","","","EBAY","","0805","","2U2","X7R","50V","CER","","",""
"71257555-cf7f-44e1-a141-acd380d719ad","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10NF,50V,0805","EBAY","","R542","","","","","","EBAY","","0805","","10NF","X7R","50V","CER","","",""
"1b8e56ad-b5e3-430c-9063-8e854ab38c14","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10NF,50V,0805","EBAY","","R543","","","","","","EBAY","","0805","","10NF","X7R","50V","CER","","",""
"b6bc7b7c-1406-4349-9128-e20efb0467b6","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,330PF,50V,0805","EBAY","","R544","","","","","","EBAY","","0805","","330PF","X7R","50V","CER","","",""
"69bfc8c4-a76d-48db-8eee-183c1290d2ab","CAPAE",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,AE,2200uF,25V,D125 H350 P050","PANASONIC","","A0573","","P10284-ND","","","","PANASONIC","EEU-FC1E222","D125 H350 P050","","2200uF","","25V","AE","","P10284-ND",""
"3ff0a361-27f4-4bde-8aaa-ace264d823ee","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,150nF,50V,BOX508","PANASONIC","","A0386","","","","","","PANASONIC","ECQ-V1H154JLW","BOX508","","150nF","","50V","FILM","","",""
"1f8a673b-13f8-4a98-a5ac-04ae631b9996","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,DISC,2n2,750VAC,DISC950","VISHAY","","A0333","","","","","","VISHAY","440LD22-R","DISC950","","2n2","Y5U","750VAC","DISC","","",""
"5cac05b7-77d1-4e4b-9d3d-e0f0daa26c45","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,0u47,420V,BOX L180 H175 P150","EPCOS","","A0327","","","","","","EPCOS","B32672L4474J000","BOX L180 H175 P150","","0u47","","420V","FILM","","",""
"f5dc8c9c-33df-47db-9bf0-0ddefd5609ce","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,1uF,63V,BOX508","EPCOS","","A0330","","","","","","EPCOS","B32529C0105K189","BOX508","","1uF","","63V","FILM","","",""
"4ebd89be-352f-4b1c-81cb-f8bbe4750fb9","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,BOX508","EPCOS","","A0384","","","","","","EPCOS","B32922C3104M189","BOX508","","","","","FILM","","",""
"54586c6c-576c-45be-abbf-972efa5a6d61","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,220nF,100V,BOX508","S+M","","A0268","","","","","","S+M","B32529-C1224-K000","BOX508","","220nF","","100V","FILM","","",""
"d10e0bf3-49c2-4c37-8478-27db196b8818","CAPAE",".\SCHLIB\PASSIVES.SCHLIB","CAPTHAED160H270P075","","CAP,AE,10uF,450V,D160 H270 P075","NICHICON","","A0130, A0134, A0135","","","","","","NICHICON","UPM2W100MHD","D160 H270 P075","","10uF","","450V","AE","","",""
"a2ffe979-be18-4857-a76e-2e7baab0aff0","CAPPOLY",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,POLY,100uF,35V,D080 H095 P035","PANASONIC","","A0129","","","","","","PANASONIC","EEH-A2A1V101B","D080 H095 P035","","100uF","","35V","POLY","","",""
"beacc6a0-6ab9-4c90-ace4-c12881baf06f","CAPPOLY",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,POLY,10uF,63V,D063 H060 P025","KEMET","","A0132","","","","","","KEMET","A759EA106MAJAAE060","D063 H060 P025","","10uF","","63V","POLY","","",""
"6a61da9f-34a5-4894-ac43-2aec7361a31c","CAPPOLY",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,POLY,4u7,250V,D080 H130 P035","KEMET","","A0275","","","","","","KEMET","A759KS475M2EAAE496","D080 H130 P035","","4u7","","250V","POLY","","",""
"e58f0c2f-5d62-40cb-bc4b-460c78461d01","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,47nF,50V,BOX508","PANASONIC","","A0651","","","","","","PANASONIC","ECQB 47NF 50V","BOX508","","47nF","","50V","FILM","","",""
"2f9ed358-b002-419c-ace4-2167b0487c50","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTH750","","CAP,FILM,180nF,63V,BOX750","PANASONIC","","A0650","","","","","","PANASONIC","ECQV1J184JM","BOX750","","180nF","","63V","FILM","","",""
"c0dda363-6575-4efe-b1cc-7547483ba6fe","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,330nF,63V,BOX750","PANASONIC","","A0652","","","","","","PANASONIC","ECQV1J334JM","BOX750","","330nF","","63V","FILM","","",""
"c9e9b2a0-9b79-4cf4-8b92-66b522b895c6","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,47nF,50V,TH508","EBAY","","R545, R546","","","","","","EBAY","","TH508","","47nF","X7R","50V","CER","","",""
"95373362-3856-40bd-aff7-7a20eae51577","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,100nF,50V,TH508","EBAY","","R547, R548, R549, R550","","","","","","EBAY","","TH508","","100nF","X7R","50V","CER","","",""
"173a8888-dfc9-4add-8c18-ac6b844dabcd","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,1uF,50V,TH508","EBAY","","R551, R552, R553","","","","","","EBAY","","TH508","","1uF","X7R","50V","CER","","",""
"ad5b85d2-e46e-4fbd-9614-1f2eab9aa34f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,100nF,25V,0805","KYOCERA","","R574","","","","","","KYOCERA","08053C104KAT2A","0805","","100nF","X7R","25V","CER","","",""
