"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Location"
35,"BJT, NPN, 40V, 0.6A, DIOTEC, 2N2222, TO92",,,,,"DIOTEC","2N2222","TO92",,"TME",,"40V","0.6A",,"NPN","A0204"
36,"BJT, NPN, 300V, 0.5A, ONSEMI, MPSA42, TO92",,,,,"ONSEMI","MPSA42","TO92",,"JAMECO",,"300V","0.5A",,"NPN","A0199"
37,"BJT, DARLINGTON NPN, 30V, 0.5A, CDR, MPSA14-CDI, TO92",,,,,"CDR","MPSA14-CDI","TO92",,,,"30V","0.5A",,"DARLINGTON NPN","A0202"
38,"BJT, PNP, 40V, 0.2A, DIOTEC, 2N3906-DIO, TO92",,,,,"DIOTEC","2N3906-DIO","TO92",,,,"40V","0.2A",,"PNP","A0253"
39,"BJT, DARLINGTON NPN, 30V, 0.5A, ONSEMI, MPSA14, TO92",,,,,"ONSEMI","MPSA14","TO92",,"JAMECO",,"30V","0.5A",,"DARLINGTON NPN","A0198"
40,"BJT, PNP, 60V, 0.5A, ONSEMI, MPSA55, TO92",,,,,"ONSEMI","MPSA55","TO92",,"JAMECO",,"60V","0.5A",,"PNP","A0139"
41,"BJT, NPN, 60V, 0.5A, ONSEMI, MPSA05, TO92",,,,,"ONSEMI","MPSA05","TO92",,"JAMECO",,"60V","0.5A",,"NPN","A0185"
42,"BJT, DUAL PNP, 12V, 2.5A, ZETEX, ZDT717TA, SM8",,,,,"ZETEX","ZDT717TA","SM8",,,,"12V","2.5A",,"DUAL PNP","A0161"
43,"BJT, DARLINGTON NPN, 400V, 6A, TOSHIBA, TTD1409B, ISO220",,,,,"TOSHIBA","TTD1409B","ISO220",,,,"400V","6A",,"DARLINGTON NPN","A0207"
44,"BJT, PNP, 30V, 0.1A, NXP, BC858C, SOT23",,,,,"NXP","BC858C","SOT23",,"LCSC",,"30V","0.1A",,"PNP","A0149"
