"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Vr","If","Power","Package","DIOtype","GenericName","Mounting","Remarks"
"af5bf307-999b-480a-8521-d61b6f5c4397","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,BAT54","HOTTECH","BAT54","A0425","","","","","","","","","","","BAT54","",""
"af5b85d5-6319-47c6-ad61-ae4337ca50ab","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,DLP05","DIODES INC","DLP05","A0420","","","","","","","","","","","DLP05","",""
"ec2fec2b-7c34-4ad2-a0f8-01c2e36bc93f","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,1N5402","GI","1N5402","A0691, A0692","","","","","","","","","","","1N5402","",""
"a46e41af-2a0e-4dd6-8913-e03f650cbd3c","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,1N5820","GI","1N5820","A0693, A0694","","","","","","","","","","","1N5820","",""
"db401fdf-fbf5-4f7a-ba22-2c989d9ed986","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,T6A05L","TAITRON","T6A05L","A0695","","","","","","","","","","","T6A05L","",""
"a891da8b-5bf0-4afd-b306-95362d67f2ac","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,1N5817","ON","1N5817","A0697","","","","","","","","","","","1N5817","",""
"f3b2c265-d9d2-49b6-863e-dbca17fc5c6b","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,1N457A","ON","1N457A","A0709","","","","","","","","","","","1N457A","",""
"623e0706-85e3-47af-8f59-ef49e11a255b","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,STPS3045CP,TO247,TH","ST","STPS3045CP","A0752","","","","","","","","","TO247","","STPS3045CP","TH",""
"27f83e5f-3dc7-46d5-9a47-b2dc59e00478","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,1N4148,GLASS,TH","","1N4148","A0790","","","","","","","","","GLASS","","1N4148","TH",""
"df36fe7f-3766-4ffd-ba5d-6e04fb2dd7d6","",".\SCHLIB\DIODES.SCHLIB","","","DIODE,1N4004","MOTOROLA","1N4004","A0852, A0853, A0854, A0855","","","","","","","","","","","1N4004","",""
"75ed46eb-2f2f-42b5-aa0a-d45d911b94df","","","","","DIODE,SCHOTTKY,20V,3A","DIODES","SK32-7","A988","","","","","","20V","3A","","","SCHOTTKY","","","REPLACED BY B3X0 SERIES"
"da440854-07bb-4c17-be24-a3f49e1653a3","","","","","DIODE,DUAL SERIES,SWITCHING,75V,300mA,SOT23","NXP","BAV99","A1006","","","","","","75V","300mA","","SOT23","DUAL SERIES,SWITCHING","","",""
"e93e6a0e-db03-4ed1-a03a-34e12dfdd026","","","","","DIODE,SOT23","","MMBZ5226","A1046","","","","","","","","","SOT23","","","",""
"17641b80-2e1e-4d4c-8b1e-0e398bc90d6f","","","","","DIODE,BRIDGE RECTIFIER,200V,2A,TH","","KBP202G","A1067","","","","","","200V","2A","","TH","BRIDGE RECTIFIER","","",""
