"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Resistance","Tempco","Voltage","RESType","Supplier","Supplier PartNo","Tolerance","Wattage","Location"
"e802c91b-af6a-406c-b626-b504b6097301","","",".\SCHLIB\PASSIVES.SCHLIB","","","KOA","RN73B1JLTD272","","","2K7","","","","","","","","R362"
"f500b8b8-1545-4727-990b-b2bb5a83dd37","","",".\SCHLIB\PASSIVES.SCHLIB","","","","CR-03J-7-220R","","","220R","","","","","","5%","","R361"
"82eda828-c6d0-4b95-9174-9cac75f0564a","","RES0805",".\SCHLIB\PASSIVES.SCHLIB","","","","RC0805FR-0710KL","0805","","10K","","","","","","","","R459"
"d5e83846-2879-42fa-ae0c-ff0cbd0e123e","","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","KYOCERA","CR10-330J","0603","","33R","","","","","","5%","","R477"
"f29a738d-6bf5-4207-826b-312f6353a3d0","","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","KOA","RK73B1JLTD331J","0603","","330R","","","","","","5%","","R464"
"c6c14bdc-92d4-44e6-bad1-e7b2feb73675","","RES0805",".\SCHLIB\PASSIVES.SCHLIB","","","KOA","RK73B2ALTD331J","0805","","330R","","","","","","5%","","R460"
"4a275e2e-0e95-43ce-bea1-5807d381305b","","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","PANASONIC","ERJ3EKF1502V","0603","","15K","","","","","","1%","","R461"
"7c89f947-aef4-49e8-8ec3-e079d21afb89","","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","PHYCOMP","RC0603FR073K32L","0603","","3K32","","","","","","","","R479"
"394a0928-152b-4bbe-be10-5b5ae786d59b","","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","KOA","RM73B1JT103J","0603","","10K","","","","","","","","R476"
"5db05b3a-2a39-4c34-a790-aa9a3ff5986b","","",".\SCHLIB\PASSIVES.SCHLIB","","","KOA","RK73B2ALTD101J","","","100R","","","","","","","","R475"
"6cdd2443-4931-4fda-a522-bb41c5c2a588","","",".\SCHLIB\PASSIVES.SCHLIB","","","WALSIN","WA06X103JT","","","10KX4","","","","","","","","R472, R480"
"1d867d73-4b6a-4315-82f7-c8ac895c89a8","","",".\SCHLIB\PASSIVES.SCHLIB","","","WALSIN","WA06X102JT","","","1KX4","","","","","","","","R478, R474"
"27cfd44d-21ec-4281-97f8-5006e09526e3","","",".\SCHLIB\PASSIVES.SCHLIB","","","YAGEO","RC0603FR-0720KL","","","20K","","","","","","","","R469"
"e915132a-bdbd-40e2-95fd-9895b1a9e125","","","","","","KOA","RK73B1JLTD103J","","","10K","","","","","","","","R423"
"ee24d752-1133-4bdb-9edb-54f5619e2f0f","","","","","","PANASONIC","ERJ-6ENF1501V","","","1K5","","","","","","1%","","R422"
"f1540fe1-49d9-4dde-ae22-66ac8131cdb3","","","","","","KYOCERA","CR10-102J-T","","","","","","","","","","","R426"
"bda7e7f1-af7a-4765-afe4-b8d5d65f8578","","","","","","KOA","RK73B1JLTD271J","","","270R","","","","","","","","R427"
"531ddb21-6b0c-4685-9a96-715ffe3754fd","","","","","","KOA","RK73B1JLTD101","","","100R","","","","","","","","R424"
"7f23b824-fdbc-4d2d-9cbd-d79ad4e869ba","","","","","","KOA","RK73B2ALTD101J","","","100R","","","","","","","","R425"
"7ec16e76-951f-4ad0-8999-9c9c8b5e71fd","","","","","","TD-OHM","CY16-2-222JM","","","2K2","","","","","","","","R428"
"b7171f2f-c933-4249-940e-bcec4e05c3f5","","","","","","","NRJ06J361TRF","","","360R","","","","","","5%","","R417"
"aa3c96f5-d332-4048-8852-55a9bb310e23","","","","","","KOA","RK73H2ATTD1210F","","","121R","","","","","","","","R421"
"dc960bb5-bbde-438c-a851-a43c24f25986","ARRAY 4 X 10K","","","","","PANASONIC","","1206","","10K ARRAY","","","","","","","","R404, R393"
"0de682ee-de42-458e-aa90-9d7c32e6caea","ARRAY 4 X 4K7","","","","","PANASONIC","","1206","","4K7 ARRAY","","","","","","","","R397"
"b8dd5249-6388-41d8-9795-d80a3e82bb9f","ARRAY 4 X 47R","","","","","PANASONIC","","1206","","47R ARRAY","","","","","","","","R385"
"6775115b-aeb4-4b86-a7b5-3c9feea6f72e","","","","","","","","0805","","47R","","","","","","","","R390"
"fcd9a4c5-9aaa-4f81-b756-f49aabf84d12","","","","","","","","0805","","3K3","","","","","","","","R389"
"cea9b02f-aa1c-4545-9dc0-c17fb1bb533e","","","","","","","","0805","","1K4","","","","","","","","R400"
"5785afbe-4523-4431-aa76-9190da9ade06","","","","","","","","0805","","10K","","","","","","","","R388"
"cec01c8b-0aaf-40be-85d6-26c73635e8a4","","","","","","","","","","10R","","","","","","","",""
"25139160-976d-491e-9749-e2618ddc88ae","","","","","","","","","","11R","","","","","","","",""
"81ecefba-7b55-4ccc-b2c7-0a16d0902b7a","","","","","","","","","","12R","","","","","","","",""
"a2b2458f-9b84-43f6-8935-dadc6b4f2466","","","","","","","","","","13R","","","","","","","",""
"f8fd46fc-3351-422e-8912-1e39e710dd74","","","","","","","","","","15R","","","","","","","",""
"df7f5ae0-018e-439e-b3bf-66eda549c498","","","","","","","","","","16R","","","","","","","",""
"51cbbdc6-f125-4347-99fb-529b9a255da6","","","","","","","","","","18R","","","","","","","",""
"19cbb48f-92c7-4fcd-808f-2dd1080e9794","","","","","","","","","","20R","","","","","","","",""
"d1c1065c-6d38-41c3-8765-f300ea5dc1df","","","","","","","","","","22R","","","","","","","",""
"e01fc0bb-de4a-4027-b2a2-9611d929d01f","","","","","","","","","","24R","","","","","","","",""
"89a214f0-e766-4e92-a4b6-9ff200cabddd","","","","","","","","","","27R","","","","","","","",""
"d7413ef9-6f68-4784-9fb8-7a7804dcca61","","","","","","","","","","30R","","","","","","","",""
"d65e3caf-218f-4c57-b542-ce809b77c049","","","","","","","","","","33R","","","","","","","",""
"c1da080f-68bf-41c1-b58b-84b8a01380bd","","","","","","","","","","36R","","","","","","","",""
"9705f03f-c30c-4f5a-8f6f-7dfee9d132b5","","","","","","","","","","39R","","","","","","","",""
"12ea772b-951d-43d6-996b-f9bb29823543","","","","","","","","","","43R","","","","","","","",""
"0e54ced7-5324-41c5-afd1-7445cd70535f","","","","","","","","","","47R","","","","","","","",""
"09775b1c-f9b2-40ae-82d9-edc167d9d424","","","","","","","","","","51R","","","","","","","",""
"1fa3af8e-088e-428e-899f-7be4080fc5c8","","","","","","","","","","56R","","","","","","","",""
"44b8f96c-f7ee-4c81-9ac0-0d8579d39515","","","","","","","","","","62R","","","","","","","",""
"8173f3e0-ac5a-4a9b-be80-8cf599aa088a","","","","","","","","","","68R","","","","","","","",""
"9e37984b-7081-43ee-a48f-cc0b07f6264a","","","","","","","","","","75R","","","","","","","",""
"9dba9ac2-1500-4152-8f98-2ac4aa3ba9e1","","","","","","","","","","82R","","","","","","","",""
"b7deb542-d194-4ab5-bacf-9fccf1c4f466","","","","","","","","","","91R","","","","","","","",""
"ce178b0a-ef2d-4b90-9ab5-9658a47f5a19","","","","","","","","","","100R","","","","","","","",""
"168b2d50-1cf9-49c6-9902-8fff92d97db5","","","","","","","","","","110R","","","","","","","",""
"7e511bcf-e7f0-4baf-b26f-4bd277a47195","","","","","","","","","","120R","","","","","","","",""
"0c35f916-335b-4079-8c3c-4b56ff5767a9","","","","","","","","","","130R","","","","","","","",""
"36d5e069-32d2-4d60-b56a-5dc272f533c0","","","","","","","","","","150R","","","","","","","",""
"79b2bb95-438b-42d4-912a-02acd219186a","","","","","","","","","","160R","","","","","","","",""
"78e1331c-c718-478f-a4b7-0851f76bc240","","","","","","","","","","180R","","","","","","","",""
"9a02a249-668a-4134-8851-351403d3e719","","","","","","","","","","200R","","","","","","","",""
"fade5080-b153-472f-8c35-9db39d68dba8","","","","","","","","","","220R","","","","","","","",""
"2e73259e-1582-4033-9f9f-9c1c0a774bbd","","","","","","","","","","240R","","","","","","","",""
"592d1094-d7c2-475d-85e0-690d97ca547f","","","","","","","","","","270R","","","","","","","",""
"df2d63e1-4458-4de9-a63d-711c0489c258","","","","","","","","","","300R","","","","","","","",""
"cef44fdb-d6b2-4876-a2c0-077dbf1e37cd","","","","","","","","","","330R","","","","","","","",""
"8bf22821-93f3-4d08-aa94-8bd8b28c5907","","","","","","","","","","360R","","","","","","","",""
"9ead9ce9-f0fb-4c35-8b83-3f1e7f743d02","","","","","","","","","","390R","","","","","","","",""
"1eead209-c08a-42c4-97b7-6f12a12ba936","","","","","","","","","","430R","","","","","","","",""
"c0379f6a-2e11-4cbc-9fab-37c0c068cc15","","","","","","","","","","470R","","","","","","","",""
"5c1ae4a4-a75a-452e-95fa-4e77354bcd3c","","","","","","","","","","510R","","","","","","","",""
"6da8a1ca-969a-486f-b6cf-0483bcc4295e","","","","","","","","","","560R","","","","","","","",""
"fd0a0f4d-5090-48b5-b0f2-38e5fbd0f320","","","","","","","","","","620R","","","","","","","",""
"373bf2b6-ac02-4a03-b4e7-ca15501c10dc","","","","","","","","","","680R","","","","","","","",""
"e362e43a-9390-4e2d-b7fe-c3f4a663bafc","","","","","","","","","","750R","","","","","","","",""
"59050dbd-1429-48a7-a354-bceee38e9eb9","","","","","","","","","","820R","","","","","","","",""
"990dc08b-3a75-492c-abd0-86ce3072344e","","","","","","","","","","910R","","","","","","","",""
