"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","AEC-Q","If","Color","LEDtype","Supplier","Supplier PartNo","GenericName"
"6eca1a3b-f6d2-4afd-84ed-a2a110b7ee90","DIODE-LED-YELLOW-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, YELLOW, 5MM","MISC","","MARS17B","","","","","MISC","","5MM","","","YELLOW","TH5MM","","",""
"193fdbcf-7c9e-4cbc-a185-a3a9d99d464a","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, GREEN, 3MM","MISC","","MARS18A","","","","","MISC","","3MM","","","GREEN","TH3MM","","",""
"26639282-8b53-4a22-9565-0d63644c4ac1","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, GREEN, 5MM","MISC","","MARS18B","","","","","MISC","","5MM","","","GREEN","TH5MM","","",""
"ba6aba99-d96b-445c-874e-241b02865122","DIODE-LED-PIRANA-WHITE",".\SCHLIB\DIODES.SCHLIB","","","LED, WHITE, PIRANA","MISC","","MARS19","","","","","MISC","","PIRANA","","","WHITE","PIRANA","","",""
"71769d96-f129-4351-b8a0-c3916646d79d","","","","","","CHICAGO MINI","7002X5","R430, R431, R432","","","","","CHICAGO MINI","7002X5","PLCC2","","","GREEN","","","",""
"caeda7ba-1310-4b13-9437-681dec8e6de9","","","","","","","FC-DA1608BHRK-620D","A0147","","","","","","FC-DA1608BHRK-620D","0603","","","RED","0603","LCSC","",""
"7724404e-4a7e-411c-8d52-f2af4c99194b","","","","","","","QSD123-ND","A0154","","QSD123-ND","","","","QSD123-ND","5MM","","","IR","TH5MM","DIGIKEY","QSD123-ND",""
"4faaa78b-725f-492d-935a-259709ec55fc","","","","","","","HQ15-2202BYGC","A0175","","","","","","HQ15-2202BYGC","","","","BLUE/YELLOW/GREEN","","LCSC","",""
"27e75344-0e1e-438e-af87-8dacbbb522d1","","","","","","","","A0172","","QED123-ND","","","","","","","","IR","TH5MM","DIGIKEY","QED123-ND",""
"f8aa3f5b-bb26-459e-8522-4b830a9799de","","","","","","WENRUN","LTD056BUE-103A","A0226, A0245, A0229, A0190, A0244","","","","","WENRUN","LTD056BUE-103A","","","","7SEG 3CA MUX","","TME","",""
"519335f0-96d8-43cb-b5c5-a38976b1abf6","","","","","","","LN5643R-11","A0238, A0195, A0243, A0218, A0219","","","","","","LN5643R-11","","","","7SEG 3CA MUX","","JAMECO","2125229",""
"b50af729-5e0f-4f1c-84a1-a3e8a48494c1","","","","","","NEWHAVEN","NHD-C12832A1Z-NSW-BBW-3V3","A0160","","","","","NEWHAVEN","NHD-C12832A1Z-NSW-BBW-3V3","","","","LCD 128X32","","","",""
