"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo","Location"
"be38b408-6b65-4c79-86c5-96a5d2effe00","CLAMP, WELLER AIRHOSE, LARGE","","","","","","","","","","","","","","A0727"
"7c0ef232-2f8f-4e6d-8d04-d73d3f6c8a79","CLAMP, WELLER AIRHOSE, SMALL","","","","","","","","","","","","","","A0730"
