"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Mounting"
"c536a066-7e37-4e80-a695-cf158de32b74","","","","","TRANSISTOR,PNP,40V,0.6A,2N2907,TO18,TH","ONSEMI","2N2907","A0151","","","","","","TO18","","","40V","0.6A","2N2907","PNP","TH"
"381cb7b1-7add-4103-966d-aecdd0799283","","","","","TRANSISTOR,THYRISTOR,600V,5A,TIC106M,TO220,TH","TI","TIC106M","A0036","","","","","","TO220","","","600V","5A","TIC106M","THYRISTOR","TH"
"132da1bc-ad11-4760-9972-ee677fbe7765","","","","","TRANSISTOR,DUAL,PNP,12V,2.5A,ZDT717CT,SM8","DIODES INC","ZDT717CT","A0068","","ZDT717CT","","","","SM8","DIGIKEY","ZDT717CT","12V","2.5A","ZDT717CT","DUAL,PNP",""
"9a0a25dd-427b-4786-b21f-b836efd79af4","","","","","TRANSISTOR,NPN,30V,0.5A,BSR13,SOT23,SMD","NXP","BSR13","A0074","","","","","","SOT23","","","30V","0.5A","BSR13","NPN","SMD"
"3c70fa28-4fa0-48ac-94a0-4a3630834874","","","","","TRANSISTOR,PNP,65V,0.1A,BC856B,SOT23,SMD","NXP","BC856B","A0077","","","","","","SOT23","","","65V","0.1A","BC856B","PNP","SMD"
"6da35969-ee84-4e51-b745-5c9750cb8359","","","","","TRANSISTOR,NPN,40V,0.2A,MMBT3904,SOT23,SMD","ONSEMI","MMBT3904","A0165","","","","","","SOT23","","","40V","0.2A","MMBT3904","NPN","SMD"
"6b1b6afd-4401-4583-a2c1-1191ec57a27e","","","","","TRANSISTOR,PNP,80V,1.5A,BD140-16-CDI,TO126,TH","DIOTEC","BD140-16-CDI","A0182","","","","","","TO126","","","80V","1.5A","BD140-16-CDI","PNP","TH"
"f358cd92-4cbd-47ca-ae33-103b705073fb","","","","","TRANSISTOR,PNP,80V,1.5A,BD140,TO126,TH","NXP","BD140","A0239","","497-6657-5-ND","","","","TO126","DIGIKEY","497-6657-5-ND","80V","1.5A","BD140","PNP","TH"
"6ff1bcfc-5734-40de-b8e6-114c182e4f4e","","","","","TRANSISTOR,PNP,40V,0.6A,2N2907A,TO92,TH","DIOTEC","2N2907A","A0222, A0225","","","","","","TO92","TME","","40V","0.6A","2N2907A","PNP","TH"
"d04865bc-c467-4960-b020-0d1ce1bbe679","","","","","TRANSISTOR,PNP,80V,1.5A,BD140-10-CDI,TO126,TH","DIOTEC","BD140-10-CDI","A0217","","","","","","TO126","TME","","80V","1.5A","BD140-10-CDI","PNP","TH"
"74670444-c108-4b70-9f54-628c5e95bc5f","","","","","TRANSISTOR,NPN,40V,0.6A,2N2222,TO92,TH","DIOTEC","2N2222","A0204","","","","","","TO92","TME","","40V","0.6A","2N2222","NPN","TH"
