"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Mounting"
"d5ae1ee7-c2d7-4a57-830b-cfa12705b022","","","","","TRANSISTOR,BF256,TO92","PHILIPS","BF256","A1407","","","","","","TO92","","","","","BF256","",""
"e5026c82-c964-4a43-8703-abaa7a97e623","","","","","TRANSISTOR,PH2369,TO92","PHILIPS","PH2369","A1408","","","","","","TO92","","","","","PH2369","",""
"5d89e92d-1dc7-48e0-8672-598de5cc6f9b","","","","","TRANSISTOR,BF450,TO92","PHILIPS","BF450","A1409","","","","","","TO92","","","","","BF450","",""
"d52e4e2d-fcbf-4840-84cb-4ee5ab45e8b3","","","","","TRANSISTOR,2N3904,TO92","NATIONAL SEMICONDUCTOR","2N3904","A1365","","","","","","TO92","","","","","2N3904","",""
"2317f19c-6a2e-46f6-bbb6-2f7d9aa05ef4","","","","","TRANSISTOR,2N3906,TO92","NATIONAL SEMICONDUCTOR","2N3906","A1366","","","","","","TO92","","","","","2N3906","",""
"4b7aae9d-1e44-4f2b-b614-fc10e1d49c5b","","","","","TRANSISTOR,PN2222,TO92","NATIONAL SEMICONDUCTOR","PN2222","A1367","","","","","","TO92","","","","","PN2222","",""
"aa220dab-8e6e-4f6c-8515-bc7ad67858d0","","","","","TRANSISTOR,PN2907,TO92","NATIONAL SEMICONDUCTOR","PN2907","A1368","","","","","","TO92","","","","","PN2907","",""
"89eaae14-fce0-4b63-894a-a995fdc9a4d7","","","","","TRANSISTOR,BSV81,TO18","PHILIPS","BSV81","A1369","","","","","","TO18","","","","","BSV81","",""
"e10fbd8e-095f-40f1-aced-5421fb2fcc47","","","","","TRANSISTOR,BSD214,TO18","PHILIPS","BSD214","A1370","","","","","","TO18","","","","","BSD214","",""
"c7fa7ca4-1704-4947-abcd-0c3b1aad5dec","","","","","TRANSISTOR,2N3905,GLOBTOP","NATIONAL SEMICONDUCTOR","2N3905","A1371","","","","","","GLOBTOP","","","","","2N3905","",""
"2344406e-894a-43e9-8ae3-6716f4f0bc11","","","","","TRANSISTOR,2N4392,TO18","","2N4392","A1372","","","","","","TO18","","","","","2N4392","",""
"21e36c3c-b90b-450e-9b9e-ba5853c06259","","","","","TRANSISTOR,PNP-PNP,12V,0.05A,MD4260,TO78,TH","MOTOROLA","MD4260","A1379","","","","","","TO78","","","12V","0.05A","MD4260","PNP-PNP","TH"
"83729caf-aa44-4c74-b518-3f968969718b","","","","","TRANSISTOR,NPN,30V,0.8A,2N2219,TO39,TH","ONSEMI","2N2219","A1379","","","","","","TO39","","","30V","0.8A","2N2219","NPN","TH"
"68c75765-0dee-44ad-adad-b983979acf04","","","","","TRANSISTOR,PNP,40V,0.6A,2N2905,TO39,TH","ONSEMI","2N2905","A1379","","","","","","TO39","","","40V","0.6A","2N2905","PNP","TH"
"8588a79a-ae31-4300-a12a-a91ce8d6cbb1","","","","","TRANSISTOR,NPN,60V,4A,2N5191,TO126,TH","CENTRAL SEMI","2N5191","A1379","","","","","","TO126","","","60V","4A","2N5191","NPN","TH"
"a5dc4a3c-cbb2-454d-bb4b-d47b017245f1","","","","","TRANSISTOR,PNP,60V,4A,2N5194,TO126,TH","CENTRAL SEMI","2N5194","A1379","","","","","","TO126","","","60V","4A","2N5194","PNP","TH"
"22e05743-dbfb-4d95-af66-2017e4cdca55","","","","","TRANSISTOR,PNP,20V,0.2A,2N3209,TO18,TH","","2N3209","A1380","","","","","","TO18","","","20V","0.2A","2N3209","PNP","TH"
"1892c7c8-530e-4c66-99fd-4eef1daa946c","","","","","TRANSISTOR,NPN,60V,0.05A,2N3799,TO18,TH","","2N3799","A1381","","","","","","TO18","","","60V","0.05A","2N3799","NPN","TH"
"d583ec0e-c004-4b15-ad34-249213fc4eeb","","","","","TRANSISTOR,PNP,180V,2A,2SA1930,ISO220,TH","EVVO","2SA1930","A1389","","","","","","ISO220","","","180V","2A","2SA1930","PNP","TH"
"4e2efef2-eccc-41de-a88d-220707b33626","","","","","TRANSISTOR,NPN,180V,2A,2SC5171,ISO220,TH","EVVO","2SC5171","A1389","","","","","","ISO220","","","180V","2A","2SC5171","NPN","TH"
"6e8ee1e8-e64b-4534-a5cb-87ef0a493638","","","","","TRANSISTOR,TO39,TH","MOTOROLA","2N5416","A1349","","","","","","TO39","","","","","","","TH"
"6b5a2980-65cb-4c13-bf2f-0c028ba70d32","","","","","TRANSISTOR,TO39,TH","MOTOROLA","2N3019","A1350","","","","","","TO39","","","","","","","TH"
"828db0bf-e746-4852-a1d5-72688f182157","","","","","TRANSISTOR,TO39,TH","MOTOROLA","4-523","A1351","","","","","","TO39","","","","","","","TH"
"2d89aaf4-d9bb-4905-9173-35a01a8ed786","","","","","TRANSISTOR,TO39,TH","","2N2219","A1357","","","","","","TO39","","","","","","","TH"
"a3a56b97-b7bf-4e84-8280-9b6d6a582a76","","","","","TRANSISTOR,TO18,TH","","2N4392","A1363","","","","","","TO18","","","","","","","TH"
