"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Value","Voltage","CapType","Dielectric"
"7241f935-1683-443b-a4d9-ea5890ed1802","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,20PF,50V,0805","EBAY","","R519","","","","","","0805","20PF","50V","CER","X7R"
"4762895c-3290-4e2e-bd0d-7f87edebbadb","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,100PF,50V,0805","EBAY","","R520","","","","","","0805","100PF","50V","CER","X7R"
"e313627d-7f59-4eaf-a436-1d32f4fad79a","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,2N2,50V,0805","EBAY","","R521","","","","","","0805","2N2","50V","CER","X7R"
"af973989-f450-4a31-9238-7b363cfc9c10","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,3N3,50V,0805","EBAY","","R522","","","","","","0805","3N3","50V","CER","X7R"
"27cf19c7-c0d0-4c11-a474-4025ab0d8aff","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,220NF,50V,0805","EBAY","","R523","","","","","","0805","220NF","50V","CER","X7R"
"629bb573-6113-4fd7-b2e5-2271d6c070d2","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,330NF,50V,0805","EBAY","","R524","","","","","","0805","330NF","50V","CER","X7R"
"154741da-8405-44ec-a925-0d9ee3b56bec","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10PF,50V,0805","EBAY","","R525","","","","","","0805","10PF","50V","CER","X7R"
"7e0c2fc1-d74e-4879-9b82-cacec6db1754","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,680NF,50V,0805","EBAY","","R526","","","","","","0805","680NF","50V","CER","X7R"
"e626b799-a37f-4d2b-af8e-b51414cec1fa","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R527","","","","","","0805","470NF","50V","CER","X7R"
"606325b7-c54f-432e-add5-47e854c04613","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,68NF,50V,0805","EBAY","","R528","","","","","","0805","68NF","50V","CER","X7R"
"fbe26e06-08df-46c4-875a-fe9fb7db1f1f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,47NF,50V,0805","EBAY","","R529","","","","","","0805","47NF","50V","CER","X7R"
"5acb309c-e658-4cf0-993f-d685aaabce1f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R530","","","","","","0805","470NF","50V","CER","X7R"
"e1c56193-1fbd-43c1-9fb1-a0c755f07812","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,33NF,50V,0805","EBAY","","R531","","","","","","0805","33NF","50V","CER","X7R"
"bb625564-260e-4b0d-89d4-789e9cd67a2d","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,1NF,50V,0805","EBAY","","R532","","","","","","0805","1NF","50V","CER","X7R"
"aa18f015-9717-427b-89dd-6e3a2dcd215d","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,4U7,50V,0805","EBAY","","R533","","","","","","0805","4U7","50V","CER","X7R"
"cb911f9b-a62f-407e-aa3d-0df04e84debc","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,4U7,50V,0805","EBAY","","R534","","","","","","0805","4U7","50V","CER","X7R"
"76cece5f-9455-4a39-b024-0a96b6639908","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R535","","","","","","0805","470NF","50V","CER","X7R"
"1ec17ee9-db0b-4099-b755-8f2de3d87fc9","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R536","","","","","","0805","470NF","50V","CER","X7R"
"79ea8b20-de15-4764-bc43-44abe0f29b74","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10UF,50V,0805","EBAY","","R537","","","","","","0805","10UF","50V","CER","X7R"
"374a52db-b7d3-4288-bb98-995232c164d9","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10UF,50V,0805","EBAY","","R538","","","","","","0805","10UF","50V","CER","X7R"
"883a504b-d60b-493d-acff-001c843c41be","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10UF,50V,0805","EBAY","","R539","","","","","","0805","10UF","50V","CER","X7R"
"3a178e5a-8b44-4570-98e1-992262357c61","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,2U2,50V,0805","EBAY","","R540","","","","","","0805","2U2","50V","CER","X7R"
"3e61b72a-7745-4142-a0c3-208dd50dbfe6","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,2U2,50V,0805","EBAY","","R541","","","","","","0805","2U2","50V","CER","X7R"
"71257555-cf7f-44e1-a141-acd380d719ad","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10NF,50V,0805","EBAY","","R542","","","","","","0805","10NF","50V","CER","X7R"
"1b8e56ad-b5e3-430c-9063-8e854ab38c14","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10NF,50V,0805","EBAY","","R543","","","","","","0805","10NF","50V","CER","X7R"
"b6bc7b7c-1406-4349-9128-e20efb0467b6","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,330PF,50V,0805","EBAY","","R544","","","","","","0805","330PF","50V","CER","X7R"
"69bfc8c4-a76d-48db-8eee-183c1290d2ab","CAPAE",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,AE,2200uF,25V,D125 H350 P050","PANASONIC","EEU-FC1E222","A0573","","P10284-ND","","","","D125 H350 P050","2200uF","25V","AE",""
"3ff0a361-27f4-4bde-8aaa-ace264d823ee","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,150nF,50V,BOX508","PANASONIC","ECQ-V1H154JLW","A0386","","","","","","BOX508","150nF","50V","FILM",""
"1f8a673b-13f8-4a98-a5ac-04ae631b9996","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,DISC,2n2,750VAC,DISC950","VISHAY","440LD22-R","A0333","","","","","","DISC950","2n2","750VAC","DISC","Y5U"
