"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","Model","Voltage","Supplier","Supplier PartNo","GenericName","Power","Capacity","Chemistry"
"ab3248a3-d760-40ae-9950-f542506fe4d2","","","","","","","","A0856","","","","","FDK","CR14250SE","","","3V","","","","","","LITHIUM"
"89b465e7-b1c7-4373-b530-87c4293f9073","","","","","","","","A0857","","","","","PANASONIC","BR-2/3A","","","3V","","","","","","LITHIUM"
