1,,,,,,"CUI","CEP-2242G",,,,,,,,,"A0174",
2,,,,,,"SONITROL",,"SMD",,,,,,,,"A0584",
3,"MIC COND ANLG UNI -50DB 0.236""D",,,,,"PANASONIC","WM-65A103","WIRE",,,,,,,,"A0127",
